qb,att,cmp,yds,ypa,int,lg,sack,loss,accuracy,td
Andrew LuckA. Luck,1.03794432084967,0.6967934483535723,1.4642235073528544,0.31044639874158253,0.30023783122549075,0.6935720865564162,0.5795281025593848,-0.45628806265072186,-0.3170496646423438,3
Ryan FitzpatrickR. Fitzpatrick,-0.5131939136902082,-0.42956341717715907,-0.04337228873069179,0.5327129565604185,-0.8261202436825615,0.1937698909548149,1.722499446056098,0.24756605442343374,0.18792053927114277,1
Jay CutlerJ. Cutler,0.5947619681239905,0.8094291349066454,1.5691827083460128,0.7549795143792549,-0.8261202436825615,2.0819115187830866,0.008042430811028223,-0.5344940756589613,0.3805283693706523,1
Matt RyanM. Ryan,0.5208982426697106,0.020979329035133457,0.51959069841443,0.0048298817406826015,0.30023783122549075,0.2493034682438817,1.1510137743077415,1.0296261845058288,-0.645721845059167,1
Blake BortlesB. Bortles,1.1856717717582297,1.4852432542250842,1.139804158828547,0.0048298817406826015,0.30023783122549075,1.2489078594470844,2.2939851178044544,2.0463043536129426,0.44931688012047694,1
Charlie WhitehurstC. Whitehurst,-0.14387528641880856,-0.2042920440710128,0.1570043677107922,0.2826630790142281,-0.8261202436825615,0.08270273637668127,0.5795281025593848,0.0129480153987152,-0.08281138517995386,0
Joe FlaccoJ. Flacco,-0.14387528641880856,0.24625070214127973,0.8535517924835699,1.0050293919254458,-0.8261202436825615,1.082307127579884,-1.134928912685685,-1.0037301537083985,0.776062306182145,5
Mike GlennonM. Glennon,1.03794432084967,0.584157761800499,0.9298857568422305,-0.050736757714026505,0.30023783122549075,-0.19496515006865278,1.722499446056098,1.8898923275964636,-0.45368866099540545,2
Peyton ManningP. Manning,0.22544334085259096,0.35888638869435285,0.1951713498901225,-0.022953437986671828,-0.8261202436825615,0.9712399730017502,0.008042430811028223,0.24756605442343374,0.27505265288758723,3
Geno SmithG. Smith,0.96408059539539,0.47152207524742595,-0.2532906907170084,-0.8008863903525986,0.30023783122549075,-0.5281666138030536,1.1510137743077415,0.32577206743167325,-0.5172416825549688,2
